date,close
2020-01-02,100.52
2020-01-03,100.4
2020-01-06,101.07
2020-01-07,102.64
2020-01-08,102.42
2020-01-09,102.2
2020-01-10,103.85
2020-01-13,104.67
2020-01-14,104.2
2020-01-15,104.79
2020-01-16,104.33
2020-01-17,103.86
2020-01-20,104.14
2020-01-21,102.18
2020-01-22,100.46
2020-01-23,99.91
2020-01-24,98.93
2020-01-27,99.26
2020-01-28,98.38
2020-01-29,97.02
2020-01-30,98.47
2020-01-31,98.27
2020-02-03,98.36
2020-02-04,96.98
2020-02-05,96.48
2020-02-06,96.6
2020-02-07,95.52
2020-02-10,95.89
2020-02-11,95.34
2020-02-12,95.08
2020-02-13,94.53
2020-02-14,96.32
2020-02-17,96.32
2020-02-18,95.33
2020-02-19,96.13
2020-02-20,94.99
2020-02-21,95.2
2020-02-24,93.38
2020-02-25,92.16
2020-02-26,92.36
2020-02-27,93.07
2020-02-28,93.24
2020-03-02,93.15
2020-03-03,92.89
2020-03-04,91.55
2020-03-05,90.91
2020-03-06,90.51
2020-03-09,91.49
2020-03-10,91.82
2020-03-11,90.24
2020-03-12,90.55
2020-03-13,90.22
2020-03-16,89.63
2020-03-17,90.19
2020-03-18,91.15
2020-03-19,92.02
2020-03-20,91.27
2020-03-23,91.0
2020-03-24,91.32
2020-03-25,92.24
2020-03-26,91.82
2020-03-27,91.66
2020-03-30,90.67
2020-03-31,89.61
2020-04-01,90.36
2020-04-02,91.61
2020-04-03,91.57
2020-04-06,92.51
2020-04-07,92.86
2020-04-08,92.28
2020-04-09,92.64
2020-04-10,94.09
2020-04-13,94.08
2020-04-14,95.58
2020-04-15,93.13
2020-04-16,93.91
2020-04-17,94.01
2020-04-20,93.75
2020-04-21,93.86
2020-04-22,92.03
2020-04-23,91.84
2020-04-24,92.19
2020-04-27,93.58
2020-04-28,93.12
2020-04-29,92.39
2020-04-30,91.94
2020-05-01,92.81
2020-05-04,93.13
2020-05-05,92.66
2020-05-06,93.15
2020-05-07,93.26
2020-05-08,94.19
2020-05-11,93.55
2020-05-12,93.26
2020-05-13,92.91
2020-05-14,91.58
2020-05-15,91.87
2020-05-18,92.13
2020-05-19,92.15
2020-05-20,91.96
2020-05-21,90.68
2020-05-22,90.32
2020-05-25,90.03
2020-05-26,89.33
2020-05-27,89.2
2020-05-28,89.58
2020-05-29,91.3
2020-06-01,91.48
2020-06-02,91.74
2020-06-03,91.69
2020-06-04,89.96
2020-06-05,89.96
2020-06-08,90.03
2020-06-09,92.29
2020-06-10,92.13
2020-06-11,92.43
2020-06-12,92.42
2020-06-15,91.36
2020-06-16,92.43
2020-06-17,93.15
2020-06-18,93.9
2020-06-19,93.07
2020-06-22,94.41
2020-06-23,93.11
2020-06-24,93.68
2020-06-25,95.77
2020-06-26,94.85
2020-06-29,94.33
2020-06-30,94.44
2020-07-01,93.99
2020-07-02,92.56
2020-07-03,92.64
2020-07-06,91.68
2020-07-07,92.13
2020-07-08,91.31
2020-07-09,92.75
2020-07-10,92.05
2020-07-13,91.77
2020-07-14,92.54
2020-07-15,91.43
2020-07-16,91.65
2020-07-17,92.88
2020-07-20,91.41
2020-07-21,91.6
2020-07-22,91.86
2020-07-23,92.6
2020-07-24,91.48
2020-07-27,90.3
2020-07-28,90.79
2020-07-29,91.07
2020-07-30,91.32
2020-07-31,91.66
2020-08-03,91.05
2020-08-04,91.28
2020-08-05,91.57
2020-08-06,90.94
2020-08-07,92.67
2020-08-10,93.13
2020-08-11,92.04
2020-08-12,92.67
2020-08-13,91.79
2020-08-14,92.53
2020-08-17,93.63
2020-08-18,92.88
2020-08-19,93.8
2020-08-20,94.2
2020-08-21,95.0
2020-08-24,96.84
2020-08-25,96.62
2020-08-26,95.92
2020-08-27,95.09
2020-08-28,94.33
2020-08-31,94.28
2020-09-01,94.62
2020-09-02,94.9
2020-09-03,95.71
2020-09-04,95.74
2020-09-07,97.16
